Analysis,Model,Train_Molecule_Count,Repeat,Train_Row_Count,Test_Row_Count,Test_Molecule_Count,R2_Train,MAE_Train,RMSE_Train,Residuals_SD_Train,R2_Test,MAE_Test,RMSE_Test,Residuals_SD_Test
MoleculeCountLearningCurve,RandomForestOpt1,70,13,6180,30,1,0.9996520182316042,0.2502122276159646,0.39793160555362816,0.39796162684681036,0.9237060448990662,3.8348755555555436,3.8487598664350817,0.33220576748290864
MoleculeCountLearningCurve,RandomForestOpt1,70,14,5880,330,1,0.9996457217675868,0.25323140022675694,0.401776349882405,0.4018075532953401,0.9926726036422759,1.2116856565656537,1.6873417122360954,1.6842447930053386
MoleculeCountLearningCurve,RandomForestOpt1,70,15,6180,30,1,0.9996501965497567,0.2500296440129443,0.3989813462496191,0.3990111063652088,0.9008552860018831,4.05248444444445,4.467084658924663,1.9115479855078539
MoleculeCountLearningCurve,RandomForestOpt1,70,16,5880,330,1,0.9996396952905476,0.2587745464852598,0.40581816783697533,0.40582630936837755,0.997681942950141,0.6577307070707067,0.8686954528901669,0.8689255476597065
MoleculeCountLearningCurve,RandomForestOpt1,70,17,6150,60,1,0.9996892879033579,0.2368967046070453,0.3717065317626431,0.37173589228517323,0.4572831063400661,9.955298888888894,11.752264928478612,8.174323129712512
MoleculeCountLearningCurve,RandomForestOpt1,70,18,6180,30,1,0.9996452317086657,0.25088795577130424,0.4004183426542082,0.40045067803088885,0.7635487318946994,6.760947777777768,6.7718614337812015,0.3908775597537191
MoleculeCountLearningCurve,RandomForestOpt1,70,19,6180,30,1,0.9996501965497567,0.2500296440129443,0.39898134624961923,0.39901110636520887,0.9008552860018831,4.05248444444445,4.467084658924663,1.9115479855078543
MoleculeCountLearningCurve,RandomForestOpt1,70,20,5880,330,1,0.9996396952905476,0.2587745464852598,0.4058181678369753,0.40582630936837744,0.997681942950141,0.6577307070707067,0.8686954528901668,0.8689255476597065
MoleculeCountLearningCurve,RandomForestOpt1,70,21,6120,90,1,0.9996448444549503,0.24964565904139335,0.4003860879400517,0.40041869089968335,0.7261104595321671,6.278695555555549,7.4181800856051705,5.294798341255268
MoleculeCountLearningCurve,RandomForestOpt1,70,22,6120,90,1,0.9996448444549503,0.24964565904139335,0.4003860879400517,0.40041869089968335,0.7261104595321672,6.278695555555549,7.41818008560517,5.294798341255268
MoleculeCountLearningCurve,RandomForestOpt1,70,23,6180,30,1,0.9996503925660879,0.24977490291262072,0.3990159171827949,0.39904524948704173,0.9838461800725267,1.4601733333333349,1.7854520254504729,1.0981948077016397
MoleculeCountLearningCurve,RandomForestOpt1,70,24,6180,30,1,0.9996411592216936,0.2535875728155329,0.4043771262889758,0.4044095906547177,0.6208649476201902,8.524724444444448,8.585367409243693,1.03604355087285
MoleculeCountLearningCurve,RandomForestOpt1,70,25,5880,330,1,0.999665136276046,0.251337471655328,0.3906061919442444,0.39063542582289906,0.7884736843850908,6.2736898989898995,8.764796473533082,8.625313879958012
MoleculeCountLearningCurve,RandomForestOpt1,70,26,6180,30,1,0.9996505614350536,0.2508566181229765,0.3989530445183884,0.39898510562174083,0.999607401988268,0.2030477777777798,0.2760784800525965,0.279570878441946
MoleculeCountLearningCurve,RandomForestOpt1,70,27,6180,30,1,0.9996479337695144,0.2509941046386185,0.39942572521226455,0.39944815142937046,0.7093275281252465,7.458785555555569,7.509342949106565,0.8847849320980005
MoleculeCountLearningCurve,RandomForestOpt1,70,28,6180,30,1,0.9996452317086657,0.2508879557713043,0.4004183426542082,0.40045067803088885,0.7635487318946995,6.760947777777767,6.7718614337812,0.39087755975371935
MoleculeCountLearningCurve,RandomForestOpt1,70,29,6180,30,1,0.9996521388378755,0.2498640938511318,0.39749639511888035,0.39752852216451123,0.9817705541939246,1.7694133333333395,1.8805870068008568,0.6479016096842607
MoleculeCountLearningCurve,RandomForestOpt1,70,30,6180,30,1,0.9996486042828506,0.2507227993527498,0.4000769636571864,0.40010880777634056,0.9610145383060089,2.7374644444444542,2.7501981855051114,0.26886442223318036
